Variable,Units,Description
EBC_CF_N,,Number of data points used to calculate energy closure balance correction factor. Driver data points within sliding window (ECB_CF Method 1) or number of ECB_CF data points (for ECB_CF Methods 2 and 3)
HH,nondimensional,"for ECB_CF Method 1 (minimum 5, maximum 93)"
DD,nondimensional,"for ECB_CF Method 1 (minimum 5, maximum 15)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentages of half-hours used with respect to theoretical maximum number of half hours"
EBC_CF_METHOD,,Method used to calculate the energy balance closure correction factor
HH-YY,nondimensional,"1 = ECB_CF Method 1, 2 = ECB_CF Method 2, 3 = ECB_CF Method 3. See general description for details"
,,
NET ECOSYSTEM EXCHANGE,,
NIGHT,,Flag indicating nighttime interval based on SW_IN_POT
HH,nondimensional,"0 = daytime, 1 = nighttime"
DD-YY,,not available
NIGHT_D,,"Number of half hours classified as nighttime in the period, i.e., when SW_IN_POT is 0"
HH,,not available
DD,nondimensional,number of half-hours
WW-MM,nondimensional,number of halfhours (average of the daily data)
YY,,not available
DAY_D,,"Number of half hours classified as daytime in the period, i.e., when SW_IN_POT is greater than 0"
HH,,not available
DD,nondimensional,number of half-hours
WW-MM,nondimensional,number of halfhours (average of the daily data)
YY,,not available
NIGHT_RANDUNC_N,,Number of half hours classified as nighttime and used to calculate the aggregated random uncertainty
HH,,not available
DD,nondimensional,number of half-hours
WW-YY,nondimensional,number of halfhours (average of the daily data)
DAY_RANDUNC_N,,Number of half hours classified as daytime and used to calculate the aggregated random uncertainty
HH,,not available
DD,nondimensional,number of half-hours
WW-YY,nondimensional,number of halfhours (average of the daily data)
NEE_CUT_REF,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_VUT_REF,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_CUT_REF_QC,,Quality flag for NEE_CUT_REF
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_REF_QC,,Quality flag for NEE_VUT_REF
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_REF_RANDUNC,,"Random uncertainty for NEE_CUT_REF, from measured only data"
HH,µmolCO2 m-2 s-1,uses only data points where NEE_CUT_REF_QC is 0 and two hierarchical methods - see header and NEE_CUT_REF_RANDUNC_METHOD
DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
NEE_VUT_REF_RANDUNC,,"Random uncertainty for NEE_VUT_REF, from measured only data"
HH,µmolCO2 m-2 s-1,uses only data points where NEE_VUT_REF_QC is 0 and two hierarchical methods - see header and NEE_VUT_REF_RANDUNC_METHOD
DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
NEE_CUT_REF_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_CUT_REF
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
NEE_VUT_REF_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_VUT_REF
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
NEE_CUT_REF_RANDUNC_N,,Number of data points used to estimate the random uncertainty of NEE_CUT_REF
HH,nondimensional,
DD-YY,,not available
NEE_VUT_REF_RANDUNC_N,,Number of data points used to estimate the random uncertainty of NEE_VUT_REF
HH,nondimensional,
DD-YY,,not available
NEE_CUT_REF_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_REF, including random uncertainty and USTAR filtering uncertainty"
HH,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour
DD,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each day
WW,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each week
MM,gC m-2 d-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each month
YY,gC m-2 y-1,[SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each year
NEE_VUT_REF_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty"
HH,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour
DD,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each day
WW,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each week
MM,gC m-2 d-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each month
YY,gC m-2 y-1,[SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each year
NEE_CUT_USTAR50,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, from 50 percentile of USTAR threshold"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_VUT_USTAR50,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, from 50 percentile of USTAR threshold"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
NEE_CUT_USTAR50_QC,,Quality flag for NEE_CUT_USTAR50
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_USTAR50_QC,,Quality flag for NEE_VUT_USTAR50
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_USTAR50_RANDUNC,,"Random uncertainty for NEE_CUT_USTAR50, from measured only data"
HH,µmolCO2 m-2 s-1,uses only data points where NEE_CUT_USTAR50_QC is 0 and two hierarchical methods - see header and NEE_CUT_USTAR50_RANDUNC_METHOD
DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
NEE_VUT_USTAR50_RANDUNC,,"Random uncertainty for NEE_VUT_USTAR50, from measured only data"
HH,µmolCO2 m-2 s-1,uses only data points where NEE_VUT_USTAR50_QC is 0 and two hierarchical methods see header and NEE_VUT_USTAR50_RANDUNC_METHOD
DD-MM,gC m-2 d-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
YY,gC m-2 y-1,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
NEE_CUT_USTAR50_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_CUT_USTAR50
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
NEE_VUT_USTAR50_RANDUNC_METHOD,,Method used to estimate the random uncertainty of NEE_VUT_USTAR50
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
NEE_CUT_USTAR50_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of NEE_CUT_USTAR50
HH,nondimensional,
DD-YY,,not available
NEE_VUT_USTAR50_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of NEE_VUT_USTAR50
HH,nondimensional,
DD-YY,,not available
NEE_CUT_USTAR50_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_USTAR50, including random uncertainty and USTAR filtering uncertainty"
HH,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour
DD,gC m-2 d-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each day
WW,gC m-2 d-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each week
MM,gC m-2 d-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each month
YY,gC m-2 y-1,[SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each year
NEE_VUT_USTAR50_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty"
HH,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour
DD,gC m-2 d-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each day
WW,gC m-2 d-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each week
MM,gC m-2 d-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each month
YY,gC m-2 y-1,[SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each year
NEE_CUT_MEAN,,"Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, average from 40 NEE_CUT_XX versions"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly NEE_CUT_XX
DD,gC m-2 d-1,average from 40 daily NEE_CUT_XX
WW,gC m-2 d-1,average from 40 weekly NEE_CUT_XX
MM,gC m-2 d-1,average from 40 monthly NEE_CUT_XX
YY,gC m-2 y-1,average from 40 yearly NEE_CUT_XX
NEE_VUT_MEAN,,"Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, average from 40 NEE_VUT_XX versions"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly NEE_CUT_XX
DD,gC m-2 d-1,average from 40 daily NEE_CUT_XX
WW,gC m-2 d-1,average from 40 weekly NEE_CUT_XX
MM,gC m-2 d-1,average from 40 monthly NEE_CUT_XX
YY,gC m-2 y-1,average from 40 yearly NEE_CUT_XX
NEE_CUT_MEAN_QC,,"Quality flag for NEE_CUT_MEAN, fraction between 0-1 indicating percentage of good quality data"
HH,nondimensional,average of percentages of good data (NEE_CUT_XX_QC is 0 or 1) from 40 NEE_CUT_XX_QC
DD-YY,nondimensional,average of 40 NEE_CUT_XX_QC for the period
NEE_VUT_MEAN_QC,,"Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data"
HH,nondimensional,average of percentages of good data (NEE_VUT_XX_QC is 0 or 1) from 40 NEE_VUT_XX_QC
DD-YY,nondimensional,average of 40 NEE_VUT_XX_QC for the period
NEE_CUT_SE,,"Standard Error for NEE_CUT, calculated as SD(NEE_CUT_XX) / SQRT(40)"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly NEE_CUT_XX
DD,gC m-2 d-1,SE from 40 daily NEE_CUT_XX
WW,gC m-2 d-1,SE from 40 weekly NEE_CUT_XX
MM,gC m-2 d-1,SE from 40 monthly NEE_CUT_XX
YY,gC m-2 y-1,SE from 40 yearly NEE_CUT_XX
NEE_VUT_SE,,"Standard Error for NEE_VUT, calculated as SD(NEE_VUT_XX) / SQRT(40)"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly NEE_CUT_XX
DD,gC m-2 d-1,SE from 40 daily NEE_CUT_XX
WW,gC m-2 d-1,SE from 40 weekly NEE_CUT_XX
MM,gC m-2 d-1,SE from 40 monthly NEE_CUT_XX
YY,gC m-2 y-1,SE from 40 yearly NEE_CUT_XX
NEE_CUT_XX,,"NEE CUT percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,µmolCO2 m-2 s-1,XXth percentile from 40 half-hourly NEE_CUT_XX
DD,gC m-2 d-1,XXth percentile from 40 daily NEE_CUT_XX
WW,gC m-2 d-1,XXth percentile from 40 weekly NEE_CUT_XX
MM,gC m-2 d-1,XXth percentile from 40 monthly NEE_CUT_XX
YY,gC m-2 y-1,XXth percentile from 40 yearly NEE_CUT_XX
NEE_VUT_XX,,"NEE VUT percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,µmolCO2 m-2 s-1,XXth percentile from 40 half-hourly NEE_VUT_XX
DD,gC m-2 d-1,XXth percentile from 40 daily NEE_VUT_XX
WW,gC m-2 d-1,XXth percentile from 40 weekly NEE_VUT_XX
MM,gC m-2 d-1,XXth percentile from 40 monthly NEE_VUT_XX
YY,gC m-2 y-1,XXth percentile from 40 yearly NEE_VUT_XX
NEE_CUT_XX_QC,,"Quality flag for NEE_CUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_XX_QC,,"Quality flag for NEE_VUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_REF_NIGHT,,"Average nighttime NEE, from NEE_CUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_VUT_REF_NIGHT,,"Average nighttime NEE, from NEE_VUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_CUT_REF_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_CUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_VUT_REF_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_VUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_CUT_REF_NIGHT_QC,,Quality flag for NEE_CUT_REF_NIGHT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_REF_NIGHT_QC,,Quality flag for NEE_VUT_REF_NIGHT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_REF_NIGHT_RANDUNC,,"Random uncertainty of NEE_CUT_REF_NIGHT, from the random uncertainty of the single nighttime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
NEE_VUT_REF_NIGHT_RANDUNC,,"Random uncertainty of NEE_VUT_REF_NIGHT, from the random uncertainty of the single nighttime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
NEE_CUT_REF_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_REF_NIGHT, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each year
NEE_VUT_REF_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF_NIGHT, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each year
NEE_CUT_REF_DAY,,"Average daytime NEE, from NEE_CUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_VUT_REF_DAY,,"Average daytime NEE, from NEE_VUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_CUT_REF_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_CUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_VUT_REF_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_VUT_REF"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_CUT_REF_DAY_QC,,Quality flag for NEE_CUT_REF_DAY
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_REF_DAY_QC,,Quality flag for NEE_VUT_REF_DAY
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_REF_DAY_RANDUNC,,"Random uncertainty of NEE_CUT_REF_DAY, from the random uncertainty of the single daytime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
NEE_VUT_REF_DAY_RANDUNC,,"Random uncertainty of NEE_VUT_REF_DAY, from the random uncertainty of the single daytime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
NEE_CUT_REF_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_REF_DAY, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each year
NEE_VUT_REF_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_REF_DAY, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2)] for each year
NEE_CUT_USTAR50_NIGHT,,"Average nighttime NEE, from NEE_CUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_VUT_USTAR50_NIGHT,,"Average nighttime NEE, from NEE_VUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_CUT_USTAR50_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_CUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_VUT_USTAR50_NIGHT_SD,,"Standard Deviation of the nighttime NEE, from the NEE_VUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 1)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_CUT_USTAR50_NIGHT_QC,,Quality flag for NEE_CUT_USTAR50_NIGHT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_USTAR50_NIGHT_QC,,Quality flag for NEE_VUT_USTAR50_NIGHT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
