Variable,Units,Description
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_USTAR50_NIGHT_RANDUNC,,"Random uncertainty of NEE_CUT_USTAR50_NIGHT, from the random uncertainty of the single nighttime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
NEE_VUT_USTAR50_NIGHT_RANDUNC,,"Random uncertainty of NEE_VUT_USTAR50_NIGHT, from the random uncertainty of the single nighttime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day."
NEE_CUT_USTAR50_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_USTAR50_NIGHT, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each year
NEE_VUT_USTAR50_NIGHT_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_USTAR50_NIGHT, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each year
NEE_CUT_USTAR50_DAY,,"Average daytime NEE, from NEE_CUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_VUT_USTAR50_DAY,,"Average daytime NEE, from NEE_VUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,average from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,average from daily data
NEE_CUT_USTAR50_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_CUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_VUT_USTAR50_DAY_SD,,"Standard Deviation of the daytime NEE, from the NEE_VUT_USTAR50"
HH,,not available
DD,µmolCO2 m-2 s-1,from half-hourly data (where NIGHT is 0)
WW-YY,µmolCO2 m-2 s-1,from daily data
NEE_CUT_USTAR50_DAY_QC,,Quality flag for NEE_CUT_USTAR50_DAY
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_USTAR50_DAY_QC,,Quality flag for NEE_VUT_USTAR50_DAY
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_USTAR50_DAY_RANDUNC,,"Random uncertainty of NEE_CUT_USTAR50_DAY, from the random uncertainty of the single daytime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
NEE_VUT_USTAR50_DAY_RANDUNC,,"Random uncertainty of NEE_VUT_USTAR50_DAY, from the random uncertainty of the single daytime half-hours"
HH,,not available
DD-YY,µmolCO2 m-2 s-1,"from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day."
NEE_CUT_USTAR50_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_CUT_USTAR50_DAY, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each day
WW,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each week
MM,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each month
YY,µmolCO2 m-2 s-1,[SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each year
NEE_VUT_USTAR50_DAY_JOINTUNC,,"Joint uncertainty estimation for NEE_VUT_USTAR50_DAY, including random uncertainty and USTAR filtering uncertainty"
HH,,not available
DD,µmolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2) for each day
WW,µmolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2) for each week
MM,µmolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2) for each month
YY,µmolCO2 m-2 s-1,SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2) for each year
NEE_CUT_XX_NIGHT,,"NEE CUT nighttime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 daily NEE_CUT_XX_NIGHT
WW,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 weekly NEE_CUT_XX_NIGHT
MM,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 monthly NEE_CUT_XX_NIGHT
YY,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 yearly NEE_CUT_XX_NIGHT
NEE_VUT_XX_NIGHT,,"NEE VUT nighttime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 daily NEE_VUT_XX_NIGHT
WW,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 weekly NEE_VUT_XX_NIGHT
MM,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 monthly NEE_VUT_XX_NIGHT
YY,µmolCO2 m-2 s-1,XXth nighttime percentile from 40 yearly NEE_VUT_XX_NIGHT
NEE_CUT_XX_NIGHT_QC,,"Quality flag for NEE_CUT_XX_NIGHT -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_XX_NIGHT_QC,,"Quality flag for NEE_VUT_XX_NIGHT -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_CUT_XX_DAY,,"NEE CUT daytime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,µmolCO2 m-2 s-1,XXth daytime percentile from 40 daily NEE_CUT_XX_DAY
WW,µmolCO2 m-2 s-1,XXth daytime percentile from 40 weekly NEE_CUT_XX_DAY
MM,µmolCO2 m-2 s-1,XXth daytime percentile from 40 monthly NEE_CUT_XX_DAY
YY,µmolCO2 m-2 s-1,XXth daytime percentile from 40 yearly NEE_CUT_XX_DAY
NEE_VUT_XX_DAY,,"NEE VUT daytime percentiles (approx. percentile indicated by XX, see doc.) calculated from the 40 estimates aggregated at the different time resolutions -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,µmolCO2 m-2 s-1,XXth daytime percentile from 40 daily NEE_VUT_XX_DAY
WW,µmolCO2 m-2 s-1,XXth daytime percentile from 40 weekly NEE_VUT_XX_DAY
MM,µmolCO2 m-2 s-1,XXth daytime percentile from 40 monthly NEE_VUT_XX_DAY
YY,µmolCO2 m-2 s-1,XXth daytime percentile from 40 yearly NEE_VUT_XX_DAY
NEE_CUT_XX_DAY_QC,,"Quality flag for NEE_CUT_XX_DAY -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
NEE_VUT_XX_DAY_QC,,"Quality flag for NEE_VUT_XX_DAY -- XX = 05, 16, 25, 50, 75, 84, 95"
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
,,
PARTITIONING,,
NIGHTTIME,,
RECO_NT_VUT_REF,,"Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_NT_VUT_USTAR50,,"Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_NT_VUT_MEAN,,"Ecosystem Respiration, from Nighttime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly RECO_NT_VUT_XX
DD,gC m-2 d-1,average from 40 daily RECO_NT_VUT_XX
WW,gC m-2 d-1,average from 40 weekly RECO_NT_VUT_XX
MM,gC m-2 d-1,average from 40 monthly RECO_NT_VUT_XX
YY,gC m-2 y-1,average from 40 yearly RECO_NT_VUT_XX
RECO_NT_VUT_SE,,"Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_NT_VUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly RECO_NT_CUT_XX
DD,gC m-2 d-1,SE from 40 daily RECO_NT_VUT_XX
WW,gC m-2 d-1,SE from 40 weekly RECO_NT_VUT_XX
MM,gC m-2 d-1,SE from 40 monthly RECO_NT_VUT_XX
YY,gC m-2 y-1,SE from 40 yearly RECO_NT_VUT_XX
RECO_NT_VUT_XX,,"Ecosystem Respiration, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_NT_CUT_REF,,"Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_NT_CUT_USTAR50,,"Ecosystem Respiration, from Nighttime partitioning method, based on NEE_CUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_NT_CUT_MEAN,,"Ecosystem Respiration, from Nighttime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly RECO_NT_CUT_XX
DD,gC m-2 d-1,average from 40 daily RECO_NT_CUT_XX
WW,gC m-2 d-1,average from 40 weekly RECO_NT_CUT_XX
MM,gC m-2 d-1,average from 40 monthly RECO_NT_CUT_XX
YY,gC m-2 y-1,average from 40 yearly RECO_NT_CUT_XX
RECO_NT_CUT_SE,,"Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_NT_CUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly RECO_NT_CUT_XX
DD,gC m-2 d-1,SE from 40 daily RECO_NT_CUT_XX
WW,gC m-2 d-1,SE from 40 weekly RECO_NT_CUT_XX
MM,gC m-2 d-1,SE from 40 monthly RECO_NT_CUT_XX
YY,gC m-2 y-1,SE from 40 yearly RECO_NT_CUT_XX
RECO_NT_CUT_XX,,"Ecosystem Respiration, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_NT_VUT_REF,,"Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_NT_VUT_USTAR50,,"Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_NT_VUT_MEAN,,"Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly GPP_NT_VUT_XX
DD,gC m-2 d-1,average from 40 daily GPP_NT_VUT_XX
WW,gC m-2 d-1,average from 40 weekly GPP_NT_VUT_XX
MM,gC m-2 d-1,average from 40 monthly GPP_NT_VUT_XX
YY,gC m-2 y-1,average from 40 yearly GPP_NT_VUT_XX
GPP_NT_VUT_SE,,"Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_VUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly GPP_NT_VUT_XX
DD,gC m-2 d-1,SE from 40 daily GPP_NT_VUT_XX
WW,gC m-2 d-1,SE from 40 weekly GPP_NT_VUT_XX
MM,gC m-2 d-1,SE from 40 monthly GPP_NT_VUT_XX
YY,gC m-2 y-1,SE from 40 yearly GPP_NT_VUT_XX
GPP_NT_VUT_XX,,"Gross Primary Production, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_NT_CUT_REF,,"Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_NT_CUT_USTAR50,,"Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_NT_CUT_MEAN,,"Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly GPP_NT_CUT_XX
DD,gC m-2 d-1,average from 40 daily GPP_NT_CUT_XX
WW,gC m-2 d-1,average from 40 weekly GPP_NT_CUT_XX
MM,gC m-2 d-1,average from 40 monthly GPP_NT_CUT_XX
YY,gC m-2 y-1,average from 40 yearly GPP_NT_CUT_XX
GPP_NT_CUT_SE,,"Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_CUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly GPP_NT_CUT_XX
DD,gC m-2 d-1,SE from 40 daily GPP_NT_CUT_XX
WW,gC m-2 d-1,SE from 40 weekly GPP_NT_CUT_XX
MM,gC m-2 d-1,SE from 40 monthly GPP_NT_CUT_XX
YY,gC m-2 y-1,SE from 40 yearly GPP_NT_CUT_XX
GPP_NT_CUT_XX,,"Gross Primary Production, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
,,
DAYTIME,,
RECO_DT_VUT_REF,,"Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_DT_VUT_USTAR50,,"Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_DT_VUT_MEAN,,"Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_VUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly RECO_DT_VUT_XX
DD,gC m-2 d-1,average from 40 daily RECO_DT_VUT_XX
WW,gC m-2 d-1,average from 40 weekly RECO_DT_VUT_XX
MM,gC m-2 d-1,average from 40 monthly RECO_DT_VUT_XX
YY,gC m-2 y-1,average from 40 yearly RECO_DT_VUT_XX
RECO_DT_VUT_SE,,"Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_VUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly RECO_DT_VUT_XX
DD,gC m-2 d-1,SE from 40 daily RECO_DT_VUT_XX
WW,gC m-2 d-1,SE from 40 weekly RECO_DT_VUT_XX
MM,gC m-2 d-1,SE from 40 monthly RECO_DT_VUT_XX
YY,gC m-2 y-1,SE from 40 yearly RECO_DT_VUT_XX
RECO_DT_VUT_XX,,"Ecosystem Respiration, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_DT_CUT_REF,,"Ecosystem Respiration, from Daytime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_DT_CUT_USTAR50,,"Ecosystem Respiration, from Daytime partitioning method, based on NEE_CUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_DT_CUT_MEAN,,"Ecosystem Respiration, from Daytime partitioning method, average from RECO versions, each from corresponding NEE_CUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly RECO_DT_CUT_XX
DD,gC m-2 d-1,average from 40 daily RECO_DT_CUT_XX
WW,gC m-2 d-1,average from 40 weekly RECO_DT_CUT_XX
MM,gC m-2 d-1,average from 40 monthly RECO_DT_CUT_XX
YY,gC m-2 y-1,average from 40 yearly RECO_DT_CUT_XX
RECO_DT_CUT_SE,,"Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_DT_CUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly RECO_DT_CUT_XX
DD,gC m-2 d-1,SE from 40 daily RECO_DT_CUT_XX
WW,gC m-2 d-1,SE from 40 weekly RECO_DT_CUT_XX
MM,gC m-2 d-1,SE from 40 monthly RECO_DT_CUT_XX
YY,gC m-2 y-1,SE from 40 yearly RECO_DT_CUT_XX
RECO_DT_CUT_XX,,"Ecosystem Respiration, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_DT_VUT_REF,,"Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_DT_VUT_USTAR50,,"Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_DT_VUT_MEAN,,"Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly GPP_DT_VUT_XX
DD,gC m-2 d-1,average from 40 daily GPP_DT_VUT_XX
WW,gC m-2 d-1,average from 40 weekly GPP_DT_VUT_XX
MM,gC m-2 d-1,average from 40 monthly GPP_DT_VUT_XX
YY,gC m-2 y-1,average from 40 yearly GPP_DT_VUT_XX
GPP_DT_VUT_SE,,"Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_VUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly GPP_DT_VUT_XX
DD,gC m-2 d-1,SE from 40 daily GPP_DT_VUT_XX
WW,gC m-2 d-1,SE from 40 weekly GPP_DT_VUT_XX
MM,gC m-2 d-1,SE from 40 monthly GPP_DT_VUT_XX
YY,gC m-2 y-1,SE from 40 yearly GPP_DT_VUT_XX
GPP_DT_VUT_XX,,"Gross Primary Production, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_DT_CUT_REF,,"Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_DT_CUT_USTAR50,,"Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
GPP_DT_CUT_MEAN,,"Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version"
HH,µmolCO2 m-2 s-1,average from 40 half-hourly GPP_DT_CUT_XX
DD,gC m-2 d-1,average from 40 daily GPP_DT_CUT_XX
WW,gC m-2 d-1,average from 40 weekly GPP_DT_CUT_XX
MM,gC m-2 d-1,average from 40 monthly GPP_DT_CUT_XX
YY,gC m-2 y-1,average from 40 yearly GPP_DT_CUT_XX
GPP_DT_CUT_SE,,"Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_CUT_XX) / SQRT(40))"
HH,µmolCO2 m-2 s-1,SE from 40 half-hourly GPP_DT_CUT_XX
DD,gC m-2 d-1,SE from 40 daily GPP_DT_CUT_XX
WW,gC m-2 d-1,SE from 40 weekly GPP_DT_CUT_XX
MM,gC m-2 d-1,SE from 40 monthly GPP_DT_CUT_XX
YY,gC m-2 y-1,SE from 40 yearly GPP_DT_CUT_XX
GPP_DT_CUT_XX,,"Gross Primary Production, from Daytime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95)"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
,,
SUNDOWN,,
RECO_SR,,"Ecosystem Respiration, from Sundown Respiration partitioning method"
HH,µmolCO2 m-2 s-1,
DD,gC m-2 d-1,calculated from half-hourly data
WW-MM,gC m-2 d-1,average from daily data
YY,gC m-2 y-1,sum from daily data
RECO_SR_N,,"Fraction between 0-1, indicating the percentage of data avaiable in the averaging period to parametrize the respiration model"
HH,,not available
DD-YY,nondimensional,percentage of data available